ID,E_Quiz,Answer,Incorrect1,Incorrect2
0,A piece of cake,식은 죽 먹기지,한조각의 케익,그림의 떡
1,Let's agree to disagree,그래 그렇다고 하자,동의하지 않아,동의하니 동의하지 않니
2,hit the ceiling,매우 화가 났다,한도를 넘다,천장을 쳐서 윗집에 복수하다.
3,the wrong horse,줄을 잘못 서다,말을 잘못탔어,집에 잘못들어감
4,be in the same boat,같은 배를 탄 처지이다,같은 배 타자,배를 같이 탄 넌 이제 나의 동료
5,let's get a drink,한잔하자,음료수 먹자,음료수를 가지고 가자
6,pull off,소화하다,내려놓다,당기는것을 그만두다
7,The gloves come off,다음엔 진짜 안봐준다,글러브가 나에게 온다,으악 한대 맞는다
8,chill with,~를 괜찮게 여기다,오한이 들다.,매운맛을 보다
9,I live under a rock,세상물정 모르다,바위밑에 산다,돌대가리다
10,It grows on me,그것에 정이 들었다.,그것이 자란다,내 돈을 먹고 자라는중이다
